,hubmap_id,group_name,dataset_type
460,HBM388.BLRJ.658,Stanford TMC,RNAseq [Salmon]
461,HBM492.NPXK.885,Stanford TMC,RNAseq
462,HBM237.PDJB.444,Stanford TMC,
463,HBM342.BQPD.849,Stanford TMC,
464,HBM285.RPBV.676,Stanford TMC,RNAseq [Salmon]
465,HBM424.STVV.842,Stanford TMC,CODEX
466,HBM487.LMVN.946,Stanford TMC,
467,HBM579.JKPM.857,Stanford TMC,RNAseq
468,HBM972.LWTD.655,Stanford TMC,RNAseq
469,HBM399.GZRJ.726,Stanford TMC,RNAseq
470,HBM399.RNVS.838,Stanford TMC,
471,HBM346.LVWR.673,Stanford TMC,
472,HBM838.JRBK.233,Stanford TMC,
473,HBM256.CJVZ.757,Stanford TMC,RNAseq [Salmon]
474,HBM342.FWKM.533,Stanford TMC,RNAseq
475,HBM772.TKCN.287,Stanford TMC,CODEX
476,HBM254.QFCD.845,Stanford TMC,
477,HBM374.PCQG.742,Stanford TMC,RNAseq [Salmon]
478,HBM378.WGXD.394,Stanford TMC,RNAseq
479,HBM683.LPTG.838,Stanford TMC,
480,HBM666.QFPZ.232,Stanford TMC,
481,HBM862.RLLM.878,Stanford TMC,
482,HBM285.VFDT.966,Stanford TMC,CODEX
483,HBM585.HGJZ.542,Stanford TMC,
484,HBM799.WGWR.477,Stanford TMC,
485,HBM365.FRDM.796,Stanford TMC,
486,HBM724.HRQM.872,Stanford TMC,
487,HBM844.RXXR.293,Stanford TMC,RNAseq [Salmon]
488,HBM487.WJST.938,Stanford TMC,RNAseq
489,HBM433.PPZJ.377,Stanford TMC,RNAseq [Salmon]
490,HBM824.XGWZ.857,Stanford TMC,CODEX
491,HBM569.NBHZ.832,Stanford TMC,CODEX
492,HBM936.THPV.749,Stanford TMC,
493,HBM454.TFJX.987,Stanford TMC,
494,HBM364.JHKZ.383,Stanford TMC,RNAseq
495,HBM364.SJBR.333,Stanford TMC,RNAseq [Salmon]
496,HBM852.NHMT.774,Stanford TMC,
497,HBM962.KQLZ.422,Stanford TMC,RNAseq [Salmon]
498,HBM935.WLRT.589,Stanford TMC,RNAseq [Salmon]
499,HBM354.FMKQ.822,Stanford TMC,RNAseq
500,HBM292.FTLJ.343,Stanford TMC,RNAseq
501,HBM568.TFRG.449,Stanford TMC,RNAseq
502,HBM676.KZRS.929,Stanford TMC,
503,HBM898.QQRK.339,Stanford TMC,Histology
504,HBM776.FNRJ.959,Stanford TMC,CODEX [Cytokit + SPRM]
505,HBM576.LVBL.359,Stanford TMC,ATACseq
506,HBM863.BSPG.254,Stanford TMC,Histology
507,HBM953.LMWQ.235,Stanford TMC,CODEX [Cytokit + SPRM]
508,HBM439.WKBL.739,Stanford TMC,ATACseq
509,HBM377.QRQB.756,Stanford TMC,Histology
510,HBM292.FCMS.497,Stanford TMC,CODEX [Cytokit + SPRM]
511,HBM957.HKSV.373,Stanford TMC,ATACseq
512,HBM455.DQXC.869,Stanford TMC,Histology
513,HBM398.XJPT.272,Stanford TMC,Histology [Image Pyramid]
514,HBM475.DXDC.532,Stanford TMC,CODEX [Cytokit + SPRM]
515,HBM994.KDNT.678,Stanford TMC,CODEX [Cytokit + SPRM]
516,HBM939.XFMQ.927,Stanford TMC,Histology [Image Pyramid]
517,HBM963.LMFW.393,Stanford TMC,Histology
518,HBM459.NXMV.864,Stanford TMC,Histology
519,HBM757.DVSN.643,Stanford TMC,ATACseq
520,HBM232.VCTZ.797,Stanford TMC,ATACseq [SnapATAC]
521,HBM959.BVWN.344,Stanford TMC,CODEX [Cytokit + SPRM]
522,HBM985.RHTM.678,Stanford TMC,ATACseq
523,HBM284.RVLB.496,Stanford TMC,Histology
524,HBM562.FTNH.728,Stanford TMC,ATACseq
525,HBM832.KTWN.492,Stanford TMC,Histology
526,HBM753.HJHZ.374,Stanford TMC,Histology [Image Pyramid]
527,HBM283.XXQN.824,Stanford TMC,ATACseq
528,HBM657.XWTH.877,Stanford TMC,LC-MS
529,HBM999.NRRQ.328,Stanford TMC,WGS
530,HBM234.VPWQ.726,Stanford TMC,Histology
531,HBM623.XWCM.667,Stanford TMC,LC-MS
532,HBM578.GHNR.755,Stanford TMC,
533,HBM393.TMDX.795,Stanford TMC,CODEX [Cytokit + SPRM]
534,HBM855.VBLX.337,Stanford TMC,RNAseq
535,HBM666.QBKB.629,Stanford TMC,ATACseq
536,HBM488.GBJJ.766,Stanford TMC,LC-MS
537,HBM363.LRHS.566,Stanford TMC,
538,HBM864.HFST.567,Stanford TMC,LC-MS
539,HBM366.TWHT.638,Stanford TMC,ATACseq
540,HBM264.QCGR.632,Stanford TMC,ATACseq
541,HBM256.TSRN.268,Stanford TMC,ATACseq [BWA + MACS2]
542,HBM323.JGNJ.947,Stanford TMC,ATACseq
543,HBM436.VWQC.266,Stanford TMC,LC-MS
544,HBM224.DLMP.923,Stanford TMC,LC-MS
545,HBM449.DRGX.996,Stanford TMC,LC-MS
546,HBM793.KBHR.474,Stanford TMC,Histology
547,HBM526.XSXG.362,Stanford TMC,RNAseq [Salmon]
548,HBM592.TMFS.579,Stanford TMC,Histology [Image Pyramid]
549,HBM873.KSGM.433,Stanford TMC,LC-MS
550,HBM749.QZTF.577,Stanford TMC,ATACseq [SnapATAC]
551,HBM247.DGTL.844,Stanford TMC,RNAseq [Salmon]
552,HBM485.TBWH.322,Stanford TMC,ATACseq [SnapATAC]
553,HBM662.GPFP.539,Stanford TMC,LC-MS
554,HBM322.RKXM.874,Stanford TMC,LC-MS
555,HBM534.XNJK.939,Stanford TMC,WGS
556,HBM429.LVSS.584,Stanford TMC,RNAseq [Salmon]
557,HBM435.TTTZ.696,Stanford TMC,
558,HBM354.NXSX.594,Stanford TMC,Histology [Image Pyramid]
559,HBM967.PSHK.968,Stanford TMC,
560,HBM254.SXCB.872,Stanford TMC,WGS
561,HBM833.MJCB.275,Stanford TMC,LC-MS
562,HBM964.SWGQ.824,Stanford TMC,LC-MS
563,HBM422.GKTR.735,Stanford TMC,ATACseq
564,HBM739.KSDT.896,Stanford TMC,ATACseq
565,HBM723.SFNS.898,Stanford TMC,ATACseq
566,HBM545.BLFV.957,Stanford TMC,LC-MS
567,HBM634.HGLT.739,Stanford TMC,RNAseq
568,HBM724.KNHZ.284,Stanford TMC,ATACseq [SnapATAC]
569,HBM656.HPSJ.875,Stanford TMC,ATACseq [SnapATAC]
570,HBM632.RCPM.722,Stanford TMC,LC-MS
571,HBM523.VXBR.729,Stanford TMC,LC-MS
572,HBM722.HPXF.559,Stanford TMC,ATACseq
573,HBM392.WRMX.469,Stanford TMC,LC-MS
574,HBM822.DZFP.968,Stanford TMC,LC-MS
575,HBM497.XXNW.493,Stanford TMC,Histology
576,HBM523.XHWW.384,Stanford TMC,CODEX [Cytokit + SPRM]
577,HBM687.SQGT.679,Stanford TMC,LC-MS
578,HBM384.NBHW.884,Stanford TMC,LC-MS
579,HBM244.TVNH.734,Stanford TMC,CODEX [Cytokit + SPRM]
580,HBM367.RBFR.728,Stanford TMC,LC-MS
581,HBM839.ZSVL.565,Stanford TMC,LC-MS
582,HBM255.JXWV.538,Stanford TMC,ATACseq
583,HBM369.NGWT.977,Stanford TMC,LC-MS
584,HBM925.MMLZ.279,Stanford TMC,ATACseq [SnapATAC]
585,HBM495.CJKS.463,Stanford TMC,ATACseq [SnapATAC]
586,HBM996.KJJG.745,Stanford TMC,ATACseq [SnapATAC]
587,HBM249.HMZD.496,Stanford TMC,LC-MS
588,HBM658.WGPT.978,Stanford TMC,CODEX [Cytokit + SPRM]
589,HBM688.WSXP.332,Stanford TMC,LC-MS
590,HBM836.RDTL.835,Stanford TMC,LC-MS
591,HBM735.RVZX.352,Stanford TMC,LC-MS
592,HBM669.FBKC.238,Stanford TMC,WGS
593,HBM438.NJKG.575,Stanford TMC,WGS
594,HBM683.ZZPK.428,Stanford TMC,LC-MS
595,HBM658.HHLH.689,Stanford TMC,CODEX [Cytokit + SPRM]
596,HBM897.QVCK.438,Stanford TMC,LC-MS
597,HBM674.CLGB.833,Stanford TMC,LC-MS
598,HBM386.ZCBN.462,Stanford TMC,LC-MS
599,HBM777.TLQL.487,Stanford TMC,CODEX [Cytokit + SPRM]
