,hubmap_id,group_name,dataset_type
102,HBM374.DMXZ.352,University of Florida TMC,CODEX
103,HBM842.QNVH.828,University of Florida TMC,
104,HBM757.VHCK.858,University of Florida TMC,CODEX
105,HBM248.HKBC.256,University of Florida TMC,CODEX [Cytokit + SPRM]
106,HBM373.LDGF.766,University of Florida TMC,CODEX [Cytokit + SPRM]
107,HBM342.PTWT.238,University of Florida TMC,
108,HBM599.PSZG.737,University of Florida TMC,
109,HBM239.CBWR.263,University of Florida TMC,
110,HBM698.FWFH.998,University of Florida TMC,RNAseq [Salmon]
111,HBM342.FSLD.938,University of Florida TMC,CODEX
112,HBM722.RVJB.637,University of Florida TMC,
113,HBM465.HZHH.676,University of Florida TMC,CODEX [Cytokit + SPRM]
114,HBM958.ZLWG.988,University of Florida TMC,
115,HBM622.JXWQ.554,University of Florida TMC,CODEX [Cytokit + SPRM]
116,HBM823.LDGC.365,University of Florida TMC,CODEX [Cytokit + SPRM]
117,HBM992.RHJW.288,University of Florida TMC,CODEX [Cytokit + SPRM]
118,HBM864.JSLF.723,University of Florida TMC,CODEX [Cytokit + SPRM]
119,HBM224.XXWB.669,University of Florida TMC,CODEX [Cytokit + SPRM]
120,HBM443.QMZS.483,University of Florida TMC,Light Sheet [Image Pyramid]
121,HBM489.LMMT.845,University of Florida TMC,
122,HBM655.MKZV.728,University of Florida TMC,
123,HBM557.SGTC.262,University of Florida TMC,CODEX [Cytokit + SPRM]
124,HBM784.GSBZ.598,University of Florida TMC,
125,HBM754.WKLP.262,University of Florida TMC,CODEX
126,HBM583.XKJN.698,University of Florida TMC,CODEX [Cytokit + SPRM]
127,HBM546.HQGH.786,University of Florida TMC,
128,HBM688.DQGM.882,University of Florida TMC,
129,HBM223.WQVG.533,University of Florida TMC,
130,HBM866.QJZP.732,University of Florida TMC,
131,HBM429.XGQK.385,University of Florida TMC,CODEX [Cytokit + SPRM]
132,HBM397.RXSM.962,University of Florida TMC,2D Imaging Mass Cytometry
133,HBM387.XZWR.467,University of Florida TMC,3D Imaging Mass Cytometry
134,HBM475.RQSB.723,University of Florida TMC,3D Imaging Mass Cytometry [Image Pyramid]
135,HBM666.SDLF.468,University of Florida TMC,CODEX [Cytokit + SPRM]
136,HBM473.VKCM.878,University of Florida TMC,
137,HBM733.DLLK.799,University of Florida TMC,CODEX [Cytokit + SPRM]
138,HBM267.CGMB.979,University of Florida TMC,
139,HBM437.XSFH.532,University of Florida TMC,CODEX [Cytokit + SPRM]
140,HBM478.PKGV.696,University of Florida TMC,
141,HBM976.HCCV.642,University of Florida TMC,
142,HBM762.RGKD.795,University of Florida TMC,
143,HBM894.RZFJ.749,University of Florida TMC,
144,HBM575.MTPD.997,University of Florida TMC,CODEX
145,HBM684.BGFH.533,University of Florida TMC,
146,HBM254.XGFQ.345,University of Florida TMC,CODEX [Cytokit + SPRM]
147,HBM345.CXVP.994,University of Florida TMC,2D Imaging Mass Cytometry [Image Pyramid]
148,HBM252.HMBK.543,University of Florida TMC,RNAseq
149,HBM778.VHHR.349,University of Florida TMC,3D Imaging Mass Cytometry
150,HBM676.BLTC.766,University of Florida TMC,
151,HBM382.KGWK.435,University of Florida TMC,
152,HBM534.GFQB.782,University of Florida TMC,
153,HBM836.WNJS.587,University of Florida TMC,CODEX [Cytokit + SPRM]
154,HBM258.JTLS.898,University of Florida TMC,
155,HBM724.ZKSM.924,University of Florida TMC,RNAseq
156,HBM243.HRTG.365,University of Florida TMC,RNAseq [Salmon]
157,HBM457.SQKR.279,University of Florida TMC,RNAseq
158,HBM579.CMHL.343,University of Florida TMC,
159,HBM583.PJBG.338,University of Florida TMC,2D Imaging Mass Cytometry
160,HBM356.QRPV.263,University of Florida TMC,2D Imaging Mass Cytometry
161,HBM623.CWHD.575,University of Florida TMC,RNAseq [Salmon]
162,HBM769.GQBZ.382,University of Florida TMC,
163,HBM747.BBQG.734,University of Florida TMC,
164,HBM589.RMDK.548,University of Florida TMC,
165,HBM424.MVPW.359,University of Florida TMC,
166,HBM443.FDHZ.888,University of Florida TMC,CODEX [Cytokit + SPRM]
167,HBM882.DBTR.869,University of Florida TMC,CODEX
168,HBM826.ZFQD.944,University of Florida TMC,
169,HBM637.QBTV.856,University of Florida TMC,
170,HBM498.TCSV.345,University of Florida TMC,CODEX
171,HBM984.GRBB.858,University of Florida TMC,RNAseq
172,HBM797.LKNL.358,University of Florida TMC,CODEX [Cytokit + SPRM]
173,HBM939.GHBT.939,University of Florida TMC,
174,HBM524.PBKM.993,University of Florida TMC,
175,HBM452.MTRP.523,University of Florida TMC,RNAseq [Salmon]
176,HBM293.GBPH.862,University of Florida TMC,RNAseq [Salmon]
177,HBM336.FKTQ.774,University of Florida TMC,
178,HBM528.NMQV.274,University of Florida TMC,CODEX [Cytokit + SPRM]
179,HBM663.CXTS.935,University of Florida TMC,
180,HBM685.NQMR.594,University of Florida TMC,
181,HBM772.XXCD.697,University of Florida TMC,CODEX
182,HBM378.PGLB.484,University of Florida TMC,
183,HBM689.XCBK.436,University of Florida TMC,RNAseq [Salmon]
184,HBM796.DQCS.798,University of Florida TMC,
185,HBM232.MLHJ.832,University of Florida TMC,RNAseq [Salmon]
186,HBM595.RJJF.938,University of Florida TMC,
187,HBM376.TQFR.354,University of Florida TMC,RNAseq
188,HBM546.GPHN.345,University of Florida TMC,
189,HBM644.LHFR.583,University of Florida TMC,RNAseq
190,HBM628.HGGF.468,University of Florida TMC,RNAseq [Salmon]
191,HBM573.VSJK.526,University of Florida TMC,CODEX
192,HBM588.FHDS.363,University of Florida TMC,CODEX
193,HBM392.LRRZ.326,University of Florida TMC,
194,HBM887.MWNM.832,University of Florida TMC,
195,HBM949.DCNW.683,University of Florida TMC,
196,HBM628.KVPD.267,University of Florida TMC,
197,HBM643.RBNF.882,University of Florida TMC,
198,HBM436.GHWX.449,University of Florida TMC,
199,HBM573.GQRD.788,University of Florida TMC,CODEX [Cytokit + SPRM]
200,HBM279.SLFX.335,University of Florida TMC,RNAseq [Salmon]
201,HBM455.VLSJ.746,University of Florida TMC,
202,HBM695.FLZW.688,University of Florida TMC,2D Imaging Mass Cytometry [Image Pyramid]
203,HBM839.VWVF.894,University of Florida TMC,2D Imaging Mass Cytometry
204,HBM585.SVFL.994,University of Florida TMC,CODEX [Cytokit + SPRM]
205,HBM638.HMDC.533,University of Florida TMC,
206,HBM748.ZDKH.494,University of Florida TMC,
207,HBM684.PPPQ.769,University of Florida TMC,2D Imaging Mass Cytometry [Image Pyramid]
208,HBM652.HHXD.556,University of Florida TMC,3D Imaging Mass Cytometry [Image Pyramid]
209,HBM936.XMNF.773,University of Florida TMC,
210,HBM557.SSSH.298,University of Florida TMC,
211,HBM594.PWXG.764,University of Florida TMC,CODEX [Cytokit + SPRM]
212,HBM932.MDJJ.846,University of Florida TMC,
213,HBM262.HJSQ.643,University of Florida TMC,2D Imaging Mass Cytometry
214,HBM273.PSKK.537,University of Florida TMC,2D Imaging Mass Cytometry [Image Pyramid]
215,HBM542.THBC.733,University of Florida TMC,CODEX [Cytokit + SPRM]
216,HBM292.MDGW.892,University of Florida TMC,
217,HBM256.TVMB.842,University of Florida TMC,2D Imaging Mass Cytometry
218,HBM273.TDVP.568,University of Florida TMC,2D Imaging Mass Cytometry
219,HBM572.PHZP.966,University of Florida TMC,2D Imaging Mass Cytometry
220,HBM633.GRZR.589,University of Florida TMC,2D Imaging Mass Cytometry [Image Pyramid]
221,HBM374.XJNM.984,University of Florida TMC,
222,HBM827.VSGK.934,University of Florida TMC,
223,HBM946.WMTC.283,University of Florida TMC,CODEX [Cytokit + SPRM]
224,HBM548.TSMP.663,University of Florida TMC,CODEX
225,HBM956.BGBN.293,University of Florida TMC,CODEX [Cytokit + SPRM]
226,HBM785.TNNJ.448,University of Florida TMC,
227,HBM554.DMMS.226,University of Florida TMC,CODEX [Cytokit + SPRM]
228,HBM869.VZJM.366,University of Florida TMC,CODEX
229,HBM253.MVCZ.759,University of Florida TMC,
230,HBM794.JCHR.674,University of Florida TMC,
231,HBM296.RWBN.476,University of Florida TMC,
232,HBM968.HFNM.663,University of Florida TMC,
233,HBM353.JLWX.367,University of Florida TMC,
234,HBM282.KDLP.535,University of Florida TMC,
235,HBM577.BPFV.553,University of Florida TMC,
236,HBM775.KDDL.468,University of Florida TMC,
237,HBM455.PWQW.883,University of Florida TMC,CODEX [Cytokit + SPRM]
238,HBM734.WXNH.664,University of Florida TMC,CODEX [Cytokit + SPRM]
239,HBM895.WHGJ.263,University of Florida TMC,RNAseq
240,HBM968.XQCF.256,University of Florida TMC,
241,HBM626.KXRZ.238,University of Florida TMC,CODEX [Cytokit + SPRM]
242,HBM376.QCCJ.269,University of Florida TMC,CODEX
243,HBM432.DCGC.449,University of Florida TMC,
244,HBM793.HSTZ.834,University of Florida TMC,
245,HBM448.NSSK.723,University of Florida TMC,
246,HBM723.NSQV.587,University of Florida TMC,
247,HBM752.PJSW.923,University of Florida TMC,
248,HBM329.NSHR.999,University of Florida TMC,
249,HBM579.XTJL.682,University of Florida TMC,
250,HBM499.TKDW.458,University of Florida TMC,
251,HBM343.JQKM.578,University of Florida TMC,
252,HBM294.SZND.926,University of Florida TMC,
253,HBM347.PSLC.425,University of Florida TMC,CODEX [Cytokit + SPRM]
254,HBM522.BSZT.385,University of Florida TMC,CODEX [Cytokit + SPRM]
255,HBM825.PBVN.284,University of Florida TMC,CODEX
256,HBM929.BRVT.339,University of Florida TMC,RNAseq
257,HBM698.CVWX.464,University of Florida TMC,
258,HBM922.CBTS.647,University of Florida TMC,
259,HBM693.THZB.697,University of Florida TMC,
260,HBM283.GNGR.785,University of Florida TMC,CODEX
261,HBM887.SHVF.747,University of Florida TMC,CODEX [Cytokit + SPRM]
262,HBM622.TTKZ.387,University of Florida TMC,CODEX [Cytokit + SPRM]
263,HBM597.VLVV.963,University of Florida TMC,
264,HBM357.PJDL.372,University of Florida TMC,
265,HBM294.RZFN.624,University of Florida TMC,
